pre_date,pre_ch,current_date,project_id,interval
2021-06-22 10:00:00,861.60864,2022-08-18 20:30:50,0,1H
2021-06-22 11:00:00,888.6468,2022-08-18 20:30:50,0,1H
2021-06-22 12:00:00,1056.5916,2022-08-18 20:30:50,0,1H
2021-06-22 15:00:00,836.033,2022-08-18 20:30:50,0,1H
2021-06-22 16:00:00,858.6321,2022-08-18 20:30:50,0,1H
2021-06-22 17:00:00,1111.4127,2022-08-18 20:30:50,0,1H
2021-06-22 18:00:00,820.28705,2022-08-18 20:30:50,0,1H
2021-06-24 07:00:00,864.4673,2022-08-18 20:30:50,0,1H
2021-06-24 08:00:00,823.4557,2022-08-18 20:30:50,0,1H
2021-06-24 11:00:00,970.41187,2022-08-18 20:30:50,0,1H
2021-06-24 12:00:00,1115.1641,2022-08-18 20:30:50,0,1H
2021-06-24 13:00:00,905.08496,2022-08-18 20:30:50,0,1H
2021-06-24 14:00:00,1108.3976,2022-08-18 20:30:50,0,1H
2021-06-24 15:00:00,1854.2051,2022-08-18 20:30:50,0,1H
2021-06-24 16:00:00,1852.875,2022-08-18 20:30:50,0,1H
2021-06-24 17:00:00,1862.815,2022-08-18 20:30:50,0,1H
2021-06-24 18:00:00,1622.024,2022-08-18 20:30:50,0,1H
2021-06-28 07:00:00,1535.5387,2022-08-18 20:30:50,0,1H
2021-06-28 08:00:00,1582.2334,2022-08-18 20:30:50,0,1H
2021-06-28 09:00:00,1942.4652,2022-08-18 20:30:50,0,1H
2021-06-28 10:00:00,2035.7125,2022-08-18 20:30:50,0,1H
2021-06-28 11:00:00,1810.0521,2022-08-18 20:30:50,0,1H
2021-06-28 12:00:00,1851.1161,2022-08-18 20:30:50,0,1H
2021-06-28 13:00:00,1870.785,2022-08-18 20:30:50,0,1H
2021-06-28 14:00:00,1760.6941,2022-08-18 20:30:50,0,1H
2021-06-28 17:00:00,1506.6741,2022-08-18 20:30:50,0,1H
2021-06-30 07:00:00,1817.5424,2022-08-18 20:30:50,0,1H
2021-06-30 08:00:00,1842.4252,2022-08-18 20:30:50,0,1H
2021-06-30 10:00:00,2173.5125,2022-08-18 20:30:50,0,1H
2021-06-30 11:00:00,1902.4243,2022-08-18 20:30:50,0,1H
2021-06-30 12:00:00,2076.9321,2022-08-18 20:30:50,0,1H
2021-06-30 13:00:00,1959.7555,2022-08-18 20:30:50,0,1H
2021-06-30 14:00:00,2002.7651,2022-08-18 20:30:50,0,1H
2021-06-30 15:00:00,2038.5277,2022-08-18 20:30:50,0,1H
2021-07-05 07:00:00,1353.5645,2022-08-18 20:30:50,0,1H
2021-07-05 08:00:00,1828.7291,2022-08-18 20:30:50,0,1H
2021-07-05 10:00:00,1887.8383,2022-08-18 20:30:50,0,1H
2021-07-05 11:00:00,2104.6875,2022-08-18 20:30:50,0,1H
2021-07-05 12:00:00,1932.3121,2022-08-18 20:30:50,0,1H
2021-07-05 13:00:00,1967.5392,2022-08-18 20:30:50,0,1H
2021-07-05 14:00:00,1871.7164,2022-08-18 20:30:50,0,1H
2021-07-05 15:00:00,2061.6934,2022-08-18 20:30:50,0,1H
2021-07-05 16:00:00,2128.5735,2022-08-18 20:30:50,0,1H
2021-07-05 18:00:00,1797.0013,2022-08-18 20:30:50,0,1H
2021-07-06 08:00:00,1952.6781,2022-08-18 20:30:50,0,1H
2021-07-06 09:00:00,1953.2207,2022-08-18 20:30:50,0,1H
2021-07-06 10:00:00,1778.6115,2022-08-18 20:30:50,0,1H
